message,truth,predicted,latency_ms
I want to watch a video on Computer Architecture,VIDEO_SEARCH,VIDEO_SEARCH,2476
Can you find a video on Cell Biology?,VIDEO_SEARCH,VIDEO_SEARCH,1947
Find a video about Compiler Design,VIDEO_SEARCH,VIDEO_SEARCH,2352
What are my weak spots?,INSIGHT,INSIGHT,3611
Test me on Network Security,ASSESSMENT,ASSESSMENT,10282
What can you teach me?,CONVERSATION,CONVERSATION,5244
Does the section mention Quantum Physics?,CONTENT_ANALYSIS,CONVERSATION,2952
Find some videos for Cognitive Science,VIDEO_SEARCH,VIDEO_SEARCH,2061
Are there gaps in my Psychology knowledge?,INSIGHT,INSIGHT,4336
Find a video about Operating Systems,VIDEO_SEARCH,VIDEO_SEARCH,3135
Suggest a video for Data Structures,VIDEO_SEARCH,VIDEO_SEARCH,2354
Does the slide mention Psychology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2672
What does the paper say about Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3114
Search for a clip about Psychology,VIDEO_SEARCH,VIDEO_SEARCH,2017
How am I doing in Database Systems?,INSIGHT,INSIGHT,5419
Recommend a YouTube video about Data Structures,VIDEO_SEARCH,VIDEO_SEARCH,2358
Ask me some questions on Database Systems,ASSESSMENT,VIDEO_SEARCH,1834
Are you ready?,CONVERSATION,CONVERSATION,3565
Can you talk to me?,CONVERSATION,CONVERSATION,1907
Am I good at Quantum Physics?,INSIGHT,INSIGHT,4820
Recommend a book,CONVERSATION,VIDEO_SEARCH,2656
Examine me on Linear Algebra,ASSESSMENT,ASSESSMENT,9023
Give me a learning report,INSIGHT,INSIGHT,5454
Find some videos about Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2228
What does the material say about Software Engineering?,CONTENT_ANALYSIS,VIDEO_SEARCH,2432
Is there a clip on Machine Learning?,VIDEO_SEARCH,VIDEO_SEARCH,2621
Do you have a video about Artificial Intelligence?,VIDEO_SEARCH,VIDEO_SEARCH,2478
I'm happy today,CONVERSATION,CONVERSATION,3045
What are the main takeaways?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3704
Where do I stand in Linear Algebra?,INSIGHT,INSIGHT,4827
Find some videos about Discrete Math,VIDEO_SEARCH,VIDEO_SEARCH,2192
Are there gaps in my Discrete Math knowledge?,INSIGHT,INSIGHT,4444
I'm frustrated,CONVERSATION,CONVERSATION,3134
Start a quiz on Human Anatomy,ASSESSMENT,ASSESSMENT,5074
Examine me on Thermodynamics,ASSESSMENT,ASSESSMENT,7911
One moment please,CONVERSATION,CONVERSATION,3532
Ha ha,CONVERSATION,CONVERSATION,2512
What's my level in Data Structures?,INSIGHT,INSIGHT,4882
Let's do a quiz on Statistics,ASSESSMENT,ASSESSMENT,8919
Where do I stand in Discrete Math?,INSIGHT,INSIGHT,4855
Is there a clip on Database Systems?,VIDEO_SEARCH,VIDEO_SEARCH,2110
Extract the main ideas from the document,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3468
Am I good at Human Anatomy?,INSIGHT,INSIGHT,4782
How am I doing in Discrete Math?,INSIGHT,INSIGHT,5101
I want to watch a video on Database Systems,VIDEO_SEARCH,VIDEO_SEARCH,1990
Look for educational videos about World History,VIDEO_SEARCH,VIDEO_SEARCH,2063
Can you find a video on Quantum Physics?,VIDEO_SEARCH,VIDEO_SEARCH,2242
Search for a clip about Cell Biology,VIDEO_SEARCH,VIDEO_SEARCH,2077
Where do I stand in Calculus?,INSIGHT,INSIGHT,4847
Quiz me on Thermodynamics,ASSESSMENT,ASSESSMENT,5688
What does the handout say about Linear Algebra?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2621
You remind me of my teacher,CONVERSATION,CONVERSATION,3546
Find a lecture video on Discrete Math,VIDEO_SEARCH,VIDEO_SEARCH,2438
What does the slide say about Software Engineering?,CONTENT_ANALYSIS,VIDEO_SEARCH,2030
Look for educational videos on World History,VIDEO_SEARCH,VIDEO_SEARCH,2230
I'll come back later,CONVERSATION,CONVERSATION,2276
Recommend a YouTube video about Human Anatomy,VIDEO_SEARCH,VIDEO_SEARCH,2263
Summarize the file in three bullet points,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2728
Question me on World History,ASSESSMENT,ASSESSMENT,5159
Quiz me on Linear Algebra,ASSESSMENT,ASSESSMENT,6149
Logging off,CONVERSATION,CONVERSATION,3057
Evaluate my understanding of World History,ASSESSMENT,ASSESSMENT,8819
Do you have a name?,CONVERSATION,CONVERSATION,2944
How am I doing in Ethics?,INSIGHT,INSIGHT,4164
I need an analysis of the slide,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3514
Test me on Classical Mechanics,ASSESSMENT,ASSESSMENT,8649
Show me a YouTube video on Classical Mechanics,VIDEO_SEARCH,VIDEO_SEARCH,2439
Take care,CONVERSATION,CONVERSATION,3231
What's my level in Database Systems?,INSIGHT,INSIGHT,4971
What's my learning path?,INSIGHT,INSIGHT,5340
What does the paper say about Microeconomics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3434
Let's do a quiz on Artificial Intelligence,ASSESSMENT,ASSESSMENT,5027
Review the file for me,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3701
Examine me on Human Anatomy,ASSESSMENT,ASSESSMENT,5418
What is water made of?,CONVERSATION,CONTENT_ANALYSIS,2228
Any clips on Big Data?,VIDEO_SEARCH,VIDEO_SEARCH,2157
Do you have a video about Ethics?,VIDEO_SEARCH,VIDEO_SEARCH,2251
Provide feedback on my learning path,INSIGHT,INSIGHT,5630
I need a visual guide on Game Theory,VIDEO_SEARCH,VIDEO_SEARCH,2704
Am I good at Compiler Design?,INSIGHT,INSIGHT,3842
What's my level in Operating Systems?,INSIGHT,INSIGHT,4641
How am I doing in Organic Chemistry?,INSIGHT,INSIGHT,5318
How are you doing?,CONVERSATION,CONVERSATION,1140
Any clips explaining Quantum Physics?,VIDEO_SEARCH,VIDEO_SEARCH,1859
Summarize the text in three bullet points,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2879
Evaluate my understanding of Big Data,ASSESSMENT,ASSESSMENT,5729
Prepare a quiz for World History,ASSESSMENT,ASSESSMENT,9041
Good answer,CONVERSATION,CONVERSATION,3710
Get me a video tutorial for Database Systems,VIDEO_SEARCH,VIDEO_SEARCH,2276
Can I call you something?,CONVERSATION,CONVERSATION,2166
Can you repeat that?,CONVERSATION,CONVERSATION,4030
Hola,CONVERSATION,CONVERSATION,946
Let's do a quiz on World History,ASSESSMENT,ASSESSMENT,8096
Look for educational videos about Classical Mechanics,VIDEO_SEARCH,VIDEO_SEARCH,2541
Can you find a video on Organic Chemistry?,VIDEO_SEARCH,VIDEO_SEARCH,1854
I'm ready for a test on Linear Programming,ASSESSMENT,ASSESSMENT,4886
Find a video on Linear Programming,VIDEO_SEARCH,VIDEO_SEARCH,2668
Question me on Compiler Design,ASSESSMENT,ASSESSMENT,4630
What does the file say about Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3530
Does the notes mention Calculus?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2629
Where do I begin?,CONVERSATION,CONVERSATION,4662
How do I learn better?,CONVERSATION,INSIGHT,7027
Test my knowledge on Classical Mechanics,ASSESSMENT,ASSESSMENT,8894
What does the document say about Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3414
Does the handout mention Thermodynamics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2765
Not now,CONVERSATION,CONVERSATION,2789
Get me a video tutorial on Artificial Intelligence,VIDEO_SEARCH,VIDEO_SEARCH,2200
I feel bored,CONVERSATION,CONVERSATION,3196
Ask me some questions on Linear Programming,ASSESSMENT,ASSESSMENT,4161
What does the paper say about Discrete Math?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3385
Where do I stand in Molecular Biology?,INSIGHT,INSIGHT,4860
Link a video on Fluid Dynamics,VIDEO_SEARCH,VIDEO_SEARCH,2402
Break down the key concepts in the article,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3954
Any clips on World History?,VIDEO_SEARCH,VIDEO_SEARCH,1931
Evaluate my understanding of Macroeconomics,ASSESSMENT,ASSESSMENT,7833
Prepare a quiz for Cell Biology,ASSESSMENT,ASSESSMENT,6232
Find some videos for Computer Architecture,VIDEO_SEARCH,VIDEO_SEARCH,2158
What is the capital of Japan?,CONVERSATION,CONTENT_ANALYSIS,2780
Break down the key concepts in the section,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4198
Where do I stand in Genetics?,INSIGHT,INSIGHT,5087
Prepare a quiz for Computer Architecture,ASSESSMENT,ASSESSMENT,5299
Find a video on Computer Networks,VIDEO_SEARCH,VIDEO_SEARCH,2402
What does the chapter say about Software Engineering?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3207
Test my knowledge on Operating Systems,ASSESSMENT,ASSESSMENT,5418
Create an assessment for Fluid Dynamics,ASSESSMENT,ASSESSMENT,5847
What's my level in Artificial Intelligence?,INSIGHT,INSIGHT,4483
Ask me some questions on Astrophysics,ASSESSMENT,ASSESSMENT,4560
Summarize the article in three bullet points,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2343
Does the file mention Software Engineering?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2622
Extract the main ideas from the section,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3105
What does the text say about Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2890
What is discussed in the slide?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2917
Question me on Data Structures,ASSESSMENT,ASSESSMENT,5201
Check if I understood Calculus,ASSESSMENT,ASSESSMENT,4779
How am I doing in Linear Algebra?,INSIGHT,INSIGHT,5084
Question me on Human Anatomy,ASSESSMENT,ASSESSMENT,4468
How do you work?,CONVERSATION,CONVERSATION,3302
Is there a clip on Cell Biology?,VIDEO_SEARCH,VIDEO_SEARCH,2119
Skip that,CONVERSATION,CONVERSATION,2891
I want a test on Fluid Dynamics,ASSESSMENT,ASSESSMENT,4587
How am I doing in Sociology?,INSIGHT,INSIGHT,4862
You're good at this,CONVERSATION,CONVERSATION,4051
