message,truth,predicted,latency_ms
Hi there!,CONVERSATION,CONVERSATION,74
"Hello, how are you doing?",CONVERSATION,CONVERSATION,6666
"Hey, good morning.",CONVERSATION,CONVERSATION,2816
What’s up?,CONVERSATION,CONVERSATION,2780
Can we just chat for a bit?,CONVERSATION,CONVERSATION,1778
Tell me something interesting.,CONVERSATION,CONVERSATION,4626
How are you today?,CONVERSATION,CONVERSATION,3033
Thanks for your help earlier.,CONVERSATION,CONVERSATION,3052
"That makes sense, thank you.",CONVERSATION,CONVERSATION,3379
I’m just checking in.,CONVERSATION,CONVERSATION,1700
"Hey, I have a quick question.",CONVERSATION,CONVERSATION,2649
Good evening!,CONVERSATION,CONVERSATION,17
Nice to see you again.,CONVERSATION,CONVERSATION,3225
Can you keep me company while I study?,CONVERSATION,CONVERSATION,3312
I’m feeling a little distracted today.,CONVERSATION,CONVERSATION,2161
What can you help me with?,CONVERSATION,CONVERSATION,4192
Are you available?,CONVERSATION,CONVERSATION,2467
Can we talk about something random?,CONVERSATION,CONVERSATION,1864
I don’t know what to study today.,CONVERSATION,INSIGHT,4751
I’m bored.,CONVERSATION,CONVERSATION,1721
That was helpful!,CONVERSATION,CONVERSATION,3192
Could you explain what you can do?,CONVERSATION,CONVERSATION,5554
Let’s have a casual conversation.,CONVERSATION,CONVERSATION,2148
Do you remember our conversation?,CONVERSATION,CONVERSATION,2882
I need some motivation to study.,CONVERSATION,CONVERSATION,2981
I’m back again.,CONVERSATION,CONVERSATION,3217
Hey!,CONVERSATION,CONVERSATION,24
Good afternoon.,CONVERSATION,CONVERSATION,13
Can you help me figure out what to do next?,CONVERSATION,INSIGHT,2874
I just wanted to say hi.,CONVERSATION,CONVERSATION,1766
How does this learning assistant work?,CONVERSATION,CONVERSATION,6338
What are you capable of?,CONVERSATION,CONVERSATION,3165
"I have nothing specific in mind, let’s chat.",CONVERSATION,CONVERSATION,2318
Can you suggest something fun to talk about?,CONVERSATION,CONVERSATION,2187
I’m taking a break from studying.,CONVERSATION,CONVERSATION,1865
How has your day been?,CONVERSATION,CONVERSATION,3222
Thanks!,CONVERSATION,CONVERSATION,3062
"Okay, got it.",CONVERSATION,CONVERSATION,3506
I understand now.,CONVERSATION,CONVERSATION,3522
Let’s continue chatting.,CONVERSATION,CONVERSATION,2440
Find me a video explaining binary search.,VIDEO_SEARCH,VIDEO_SEARCH,2077
Can you find a YouTube video on recursion?,VIDEO_SEARCH,VIDEO_SEARCH,2287
I want a video tutorial for learning SQL joins.,VIDEO_SEARCH,VIDEO_SEARCH,1540
Show me a good video about photosynthesis.,VIDEO_SEARCH,VIDEO_SEARCH,1915
Find a beginner-friendly video on Python classes.,VIDEO_SEARCH,VIDEO_SEARCH,2204
Can you recommend a video that teaches probability?,VIDEO_SEARCH,VIDEO_SEARCH,1869
Search for a video explaining Newton’s laws.,VIDEO_SEARCH,VIDEO_SEARCH,2018
I need a video lesson on database normalization.,VIDEO_SEARCH,VIDEO_SEARCH,2035
Find a YouTube tutorial for FastAPI.,VIDEO_SEARCH,VIDEO_SEARCH,2172
Show me a video about machine learning basics.,VIDEO_SEARCH,VIDEO_SEARCH,1917
Can you look for a video explaining TCP and UDP?,VIDEO_SEARCH,VIDEO_SEARCH,1583
Find a video that teaches calculus derivatives.,VIDEO_SEARCH,VIDEO_SEARCH,1749
I want to watch a tutorial on linked lists.,VIDEO_SEARCH,VIDEO_SEARCH,1727
Search for a useful video about operating systems.,VIDEO_SEARCH,VIDEO_SEARCH,1666
Can you find a lecture on neural networks?,VIDEO_SEARCH,VIDEO_SEARCH,2118
Show me some videos for learning Java inheritance.,VIDEO_SEARCH,VIDEO_SEARCH,1690
Find a short video explaining Bayes’ theorem.,VIDEO_SEARCH,VIDEO_SEARCH,1917
I need a YouTube explanation of dynamic programming.,VIDEO_SEARCH,VIDEO_SEARCH,1628
Search for videos about computer networks.,VIDEO_SEARCH,VIDEO_SEARCH,2102
Can you find a video that explains SQL subqueries?,VIDEO_SEARCH,VIDEO_SEARCH,1500
I’d like a video lesson on electromagnetic induction.,VIDEO_SEARCH,VIDEO_SEARCH,2055
Find a tutorial video on Git and GitHub.,VIDEO_SEARCH,VIDEO_SEARCH,2531
Show me a video explaining REST APIs.,VIDEO_SEARCH,VIDEO_SEARCH,1923
Can you search YouTube for a lesson on statistics?,VIDEO_SEARCH,VIDEO_SEARCH,1776
Find an easy video explaining object-oriented programming.,VIDEO_SEARCH,VIDEO_SEARCH,1862
I want a video about the water cycle.,VIDEO_SEARCH,VIDEO_SEARCH,1760
Search for a tutorial on pandas in Python.,VIDEO_SEARCH,VIDEO_SEARCH,1960
Can you find a lecture explaining operating system processes?,VIDEO_SEARCH,VIDEO_SEARCH,2428
Show me a video that explains gradient descent.,VIDEO_SEARCH,VIDEO_SEARCH,2003
Find a beginner video for learning C++ pointers.,VIDEO_SEARCH,VIDEO_SEARCH,2042
I need a video tutorial on HTML and CSS.,VIDEO_SEARCH,VIDEO_SEARCH,1803
Search for a video explaining probability distributions.,VIDEO_SEARCH,VIDEO_SEARCH,2163
